path,imgversion,imgbasicFlags,imgadvancedFlags,imgwidth,imgheight,imgimageFormat,fileSize
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\FONTS\12PX_MEDIUM_NEOSANS_12PT.IMG,1.0,DisableCompressInTextureMemory; Compressed; AttachedDataSize; DisableDownSample; DisableMipMaps,0,256,256,PlaneARGB,19850
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\FONTS\18PX_MEDIUM_NEOSANS_18PT.IMG,1.0,DisableCompressInTextureMemory; Compressed; AttachedDataSize; DisableDownSample; DisableMipMaps,0,512,512,PlaneARGB,95368
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\FONTS\24PX_BLACK_NEOSANS_24PT.IMG,1.0,DisableCompressInTextureMemory; Compressed; AttachedDataSize; DisableDownSample; DisableMipMaps,Huffman,512,512,PlaneARGB,285549
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\FONTS\27PX_MEDIUM_NEOSANS_27PT.IMG,1.0,DisableCompressInTextureMemory; Compressed; AttachedDataSize; DisableDownSample; DisableMipMaps,0,512,512,PlaneARGB,82062
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\FONTS\32PX_W0_KEYS_42PT.IMG,1.0,DisableCompressInTextureMemory; Compressed; AttachedDataSize; DisableDownSample; DisableMipMaps,LIC,256,256,PlaneARGB,110642
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\FONTS\36PX_BLACK_NEOSANS_36PT.IMG,1.0,DisableCompressInTextureMemory; Compressed; AttachedDataSize; DisableDownSample; DisableMipMaps,Huffman,1024,1024,PlaneARGB,1047597
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\FONTS\48PX_W0_KEYS_64PT.IMG,1.0,DisableCompressInTextureMemory; Compressed; AttachedDataSize; DisableDownSample; DisableMipMaps,LIC,256,256,PlaneARGB,109172
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\FONTS\54PX_BLACK_NEOSANS_54PT.IMG,1.0,DisableCompressInTextureMemory; Compressed; AttachedDataSize; DisableDownSample; DisableMipMaps,0,1024,1024,PlaneARGB,1038784
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\circmap1.img,1.0,Compressed,Huffman,256,256,PlaneXRGB,80035
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\circmap1b.img,1.0,Compressed,Huffman,64,256,PlaneXRGB,16376
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CITAMAP1.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,57676
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CITAMAP1B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,14562
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CITAMAP2.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,57594
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CITAMAP2B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,14574
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CITAMAP3.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,57786
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CITAMAP3B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,14580
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CITBMAP1.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,58142
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CITBMAP1B.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,13954
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CITBMAP2.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,58288
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CITBMAP2B.IMG,1.0,DisableCompressInTextureMemory; Compressed; Disable16bit; DisableDownSample; DisableMipMaps,0,64,256,CLUT8,13968
D:\CarmAndroid\WADs\Data_Android\DATA\CONTENT\HUD\MAPS\CITBMAP3.IMG,1.0,DisableCompressInTextureMemory; Compressed; DisableDownSample; DisableMipMaps,0,256,256,CLUT8,58426
